ID,A1,A2,A3,B1,B2,B3,C1,C2,C3
PaeAG1_00245,1,0,0,0,0,1,0,1,1
PaeAG1_00246,0,0,0,0,0,0,0,0,0
PaeAG1_00247,0,0,0,0,0,0,0,0,0
PaeAG1_00248,0,0,0,0,0,0,0,0,0
PaeAG1_00249,1,1,1,1,1,1,0,1,1
PaeAG1_00250,1,1,1,1,1,1,0,1,1
PaeAG1_00251,1,0,0,0,0,0,0,0,0
PaeAG1_00252,2,1,1,1,1,1,1,1,1
PaeAG1_00253,0,0,0,0,0,0,0,0,0
PaeAG1_00254,3,2,1,2,2,2,1,3,3
PaeAG1_00255,3,1,1,2,2,2,1,3,2
PaeAG1_00256,6,3,3,5,6,5,3,5,5
PaeAG1_00257,0,0,0,0,0,0,0,0,0
PaeAG1_00258,0,0,0,0,0,0,0,0,0
PaeAG1_00259,1,1,1,1,1,1,1,2,1
PaeAG1_00260,1,0,0,1,0,1,0,1,1
PaeAG1_00261,3,2,1,1,1,2,1,2,2
PaeAG1_00262,13,7,8,9,11,12,5,8,8
PaeAG1_00263,7,3,6,2,2,3,2,2,3
PaeAG1_00264,11,6,9,4,4,5,3,3,4
PaeAG1_00265,12,6,8,3,3,4,2,3,3
PaeAG1_00266,15,7,9,7,7,10,5,8,11
PaeAG1_00267,2,1,1,1,1,1,0,1,1
PaeAG1_00268,3,1,2,2,2,3,1,2,2
PaeAG1_00269,2,1,1,1,0,1,0,0,0
PaeAG1_00270,6,2,2,4,4,4,2,4,4
PaeAG1_00271,3,1,2,1,1,2,1,1,1
PaeAG1_00272,1,1,1,2,1,2,1,2,2
PaeAG1_00273,0,0,0,0,0,0,0,0,0
PaeAG1_00274,0,0,0,0,0,0,0,0,0
PaeAG1_00275,0,0,0,0,0,0,0,0,0
PaeAG1_00276,0,0,0,0,0,0,0,0,0
PaeAG1_00277,0,0,0,0,0,0,0,0,1
PaeAG1_00278,0,0,0,0,0,0,0,0,0
PaeAG1_00279,0,0,0,0,0,0,0,0,0
PaeAG1_00280,5,2,3,3,3,4,2,2,3
PaeAG1_00281,4,2,3,3,3,4,3,4,4
